日期	区县	诊断	来源口径	计数
2022-03-30	宝山	无症状	社会面	18
2022-03-30	闵行	确诊	闭环	1
2022-03-30	闵行	确诊	社会面	18
2022-03-30	闵行	确诊	转诊	0
2022-03-30	闵行	无症状	闭环	680
2022-03-30	闵行	无症状	社会面	81
2022-03-30	嘉定	确诊	闭环	0
2022-03-30	嘉定	确诊	社会面	8
2022-03-30	嘉定	确诊	转诊	1
2022-03-30	嘉定	无症状	闭环	108
2022-03-30	嘉定	无症状	社会面	41
2022-03-30	金山	确诊	闭环	0
2022-03-30	金山	确诊	社会面	0
2022-03-30	金山	确诊	转诊	0
2022-03-30	金山	无症状	闭环	30
2022-03-30	金山	无症状	社会面	3
2022-03-30	松江	确诊	闭环	1
2022-03-30	松江	确诊	社会面	6
2022-03-30	松江	确诊	转诊	1
2022-03-30	松江	无症状	闭环	211
2022-03-30	松江	无症状	社会面	27
2022-03-30	青浦	确诊	闭环	0
2022-03-30	青浦	确诊	社会面	3
2022-03-30	青浦	确诊	转诊	2
2022-03-30	青浦	无症状	闭环	63
2022-03-30	青浦	无症状	社会面	9
2022-03-30	奉贤	确诊	闭环	0
2022-03-30	奉贤	确诊	社会面	4
2022-03-30	奉贤	确诊	转诊	3
2022-03-30	奉贤	无症状	闭环	63
2022-03-30	奉贤	无症状	社会面	60
2022-03-30	崇明	确诊	闭环	0
2022-03-30	崇明	确诊	社会面	0
2022-03-30	崇明	确诊	转诊	0
2022-03-30	崇明	无症状	闭环	191
2022-03-30	崇明	无症状	社会面	2
2022-03-31	浦东	确诊	闭环	5
2022-03-31	浦东	确诊	社会面	173
2022-03-31	浦东	确诊	转诊	2
2022-03-31	浦东	无症状	闭环	2080
2022-03-31	浦东	无症状	社会面	147
2022-03-31	黄浦	确诊	闭环	1
2022-03-31	黄浦	确诊	社会面	5
2022-03-31	黄浦	确诊	转诊	1
2022-03-31	黄浦	无症状	闭环	92
2022-03-31	黄浦	无症状	社会面	22
2022-03-31	静安	确诊	闭环	1
2022-03-31	静安	确诊	社会面	3
2022-03-31	静安	确诊	转诊	0
2022-03-31	静安	无症状	闭环	147
2022-03-31	静安	无症状	社会面	13
2022-03-31	徐汇	确诊	闭环	1
2022-03-31	徐汇	确诊	社会面	17
2022-03-31	徐汇	确诊	转诊	2
2022-03-31	徐汇	无症状	闭环	184
2022-03-31	徐汇	无症状	社会面	22
2022-03-31	长宁	确诊	闭环	0
2022-03-31	长宁	确诊	社会面	42
2022-03-31	长宁	确诊	转诊	1
2022-03-31	长宁	无症状	闭环	179
2022-03-31	长宁	无症状	社会面	34
2022-03-31	普陀	确诊	闭环	0
2022-03-31	普陀	确诊	社会面	4
2022-03-31	普陀	确诊	转诊	2
2022-03-31	普陀	无症状	闭环	5
2022-03-31	普陀	无症状	社会面	4
2022-03-31	虹口	确诊	闭环	0
2022-03-31	虹口	确诊	社会面	8
2022-03-31	虹口	确诊	转诊	0
2022-03-31	虹口	无症状	闭环	96
2022-03-31	虹口	无症状	社会面	24
2022-03-31	杨浦	确诊	闭环	0
2022-03-31	杨浦	确诊	社会面	3
2022-03-31	杨浦	确诊	转诊	2
2022-03-31	杨浦	无症状	闭环	156
2022-03-31	杨浦	无症状	社会面	13
2022-03-31	宝山	确诊	闭环	0
2022-03-31	宝山	确诊	社会面	4
2022-03-31	宝山	确诊	转诊	0
2022-03-31	宝山	无症状	闭环	5
2022-03-31	宝山	无症状	社会面	8
2022-03-31	闵行	确诊	闭环	0
2022-03-31	闵行	确诊	社会面	52
2022-03-31	闵行	确诊	转诊	7
2022-03-31	闵行	无症状	闭环	273
2022-03-31	闵行	无症状	社会面	60
2022-03-31	嘉定	确诊	闭环	0
2022-03-31	嘉定	确诊	社会面	6
2022-03-31	嘉定	确诊	转诊	1
2022-03-31	嘉定	无症状	闭环	36
2022-03-31	嘉定	无症状	社会面	11
2022-03-31	金山	确诊	闭环	0
2022-03-31	金山	确诊	社会面	3
2022-03-31	金山	确诊	转诊	0
2022-03-31	金山	无症状	闭环	38
2022-03-31	金山	无症状	社会面	1
2022-03-31	松江	确诊	闭环	0
2022-03-31	松江	确诊	社会面	4
2022-03-31	松江	确诊	转诊	1
2022-03-31	松江	无症状	闭环	146
2022-03-31	松江	无症状	社会面	33
2022-03-31	青浦	确诊	闭环	0
2022-03-31	青浦	确诊	社会面	0
2022-03-31	青浦	确诊	转诊	1
2022-03-31	青浦	无症状	闭环	73
2022-03-31	青浦	无症状	社会面	21
2022-03-31	奉贤	确诊	闭环	0
2022-03-31	奉贤	确诊	社会面	5
2022-03-31	奉贤	确诊	转诊	0
2022-03-31	奉贤	无症状	闭环	173
2022-03-31	奉贤	无症状	社会面	5
2022-03-31	崇明	确诊	闭环	0
2022-03-31	崇明	确诊	社会面	1
2022-03-31	崇明	确诊	转诊	0
2022-03-31	崇明	无症状	闭环	27
2022-03-31	崇明	无症状	社会面	16
2022-04-01	浦东	确诊	闭环	2
2022-04-01	浦东	确诊	社会面	77
2022-04-01	浦东	确诊	转诊	0
2022-04-01	浦东	无症状	闭环	2426
2022-04-01	浦东	无症状	社会面	79
2022-04-01	黄浦	确诊	闭环	0
2022-04-01	黄浦	确诊	社会面	5
2022-04-01	黄浦	确诊	转诊	0
2022-04-01	黄浦	无症状	闭环	238
2022-04-01	黄浦	无症状	社会面	17
2022-04-01	静安	确诊	闭环	0
2022-04-01	静安	确诊	社会面	11
2022-04-01	静安	确诊	转诊	0
2022-04-01	静安	无症状	闭环	147
2022-04-01	静安	无症状	社会面	31
2022-04-01	徐汇	确诊	闭环	2
2022-04-01	徐汇	确诊	社会面	35
2022-04-01	徐汇	确诊	转诊	0
2022-04-01	徐汇	无症状	闭环	385
2022-04-01	徐汇	无症状	社会面	217
2022-04-01	长宁	确诊	闭环	0
2022-04-01	长宁	确诊	社会面	0
2022-04-01	长宁	确诊	转诊	0
2022-04-01	长宁	无症状	闭环	32
2022-04-01	长宁	无症状	社会面	5
2022-04-01	普陀	确诊	闭环	2
2022-04-01	普陀	确诊	社会面	11
2022-04-01	普陀	确诊	转诊	0
2022-04-01	普陀	无症状	闭环	198
2022-04-01	普陀	无症状	社会面	34
2022-04-01	虹口	确诊	闭环	0
2022-04-01	虹口	确诊	社会面	3
2022-04-01	虹口	确诊	转诊	0
2022-04-01	虹口	无症状	闭环	43
2022-04-01	虹口	无症状	社会面	15
2022-04-01	杨浦	确诊	闭环	0
2022-04-01	杨浦	确诊	社会面	10
2022-04-01	杨浦	确诊	转诊	1
2022-04-01	杨浦	无症状	闭环	106
2022-04-01	杨浦	无症状	社会面	17
2022-04-01	宝山	确诊	闭环	0
2022-04-01	宝山	确诊	社会面	9
2022-04-01	宝山	确诊	转诊	1
2022-04-01	宝山	无症状	闭环	16
2022-04-01	宝山	无症状	社会面	19
2022-04-01	闵行	确诊	闭环	0
2022-04-01	闵行	确诊	社会面	57
2022-04-01	闵行	确诊	转诊	0
2022-04-01	闵行	无症状	闭环	833
2022-04-01	闵行	无症状	社会面	153
2022-04-01	嘉定	确诊	闭环	2
2022-04-01	嘉定	确诊	社会面	7
2022-04-01	嘉定	确诊	转诊	0
2022-04-01	嘉定	无症状	闭环	164
2022-04-01	嘉定	无症状	社会面	27
2022-04-01	金山	确诊	闭环	0
2022-04-01	金山	确诊	社会面	3
2022-04-01	金山	确诊	转诊	0
2022-04-01	金山	无症状	闭环	46
2022-04-01	金山	无症状	社会面	0
2022-04-01	松江	确诊	闭环	0
2022-04-01	松江	确诊	社会面	19
2022-04-01	松江	确诊	转诊	0
2022-04-01	松江	无症状	闭环	453
2022-04-01	松江	无症状	社会面	21
2022-04-01	青浦	确诊	闭环	0
2022-04-01	青浦	确诊	社会面	0
2022-04-01	青浦	确诊	转诊	0
2022-04-01	青浦	无症状	闭环	76
2022-04-01	青浦	无症状	社会面	11
2022-04-01	奉贤	确诊	闭环	0
2022-04-01	奉贤	确诊	社会面	2
2022-04-01	奉贤	确诊	转诊	0
2022-04-01	奉贤	无症状	闭环	156
2022-04-01	奉贤	无症状	社会面	3
2022-04-01	崇明	确诊	闭环	0
2022-04-01	崇明	确诊	社会面	1
2022-04-01	崇明	确诊	转诊	0
2022-04-01	崇明	无症状	闭环	83
2022-04-01	崇明	无症状	社会面	0
2022-04-02	浦东	确诊	闭环	4
2022-04-02	浦东	确诊	社会面	95
2022-04-02	浦东	确诊	转诊	9
2022-04-02	浦东	无症状	闭环	1825
2022-04-02	浦东	无症状	社会面	105
2022-04-02	黄浦	确诊	闭环	3
2022-04-02	黄浦	确诊	社会面	21
2022-04-02	黄浦	确诊	转诊	3
